,box,angry,disgust,fear,happy,sad,surprise,neutral
288,"(341, 249, 93, 93)",0.02,0.0,0.01,0.16,0.03,0.0,0.78
289,"(338, 246, 98, 98)",0.01,0.0,0.01,0.24,0.02,0.0,0.72
290,"(338, 246, 98, 98)",0.01,0.0,0.01,0.17,0.02,0.0,0.8
291,"(341, 249, 94, 94)",0.01,0.0,0.02,0.2,0.02,0.0,0.75
292,"(338, 245, 99, 99)",0.01,0.0,0.01,0.11,0.02,0.0,0.85
293,"(338, 245, 99, 99)",0.02,0.0,0.01,0.16,0.02,0.0,0.78
294,"(342, 254, 88, 88)",0.02,0.0,0.08,0.24,0.04,0.0,0.61
295,"(340, 248, 95, 95)",0.01,0.0,0.01,0.14,0.01,0.0,0.83
296,"(342, 249, 93, 93)",0.01,0.0,0.03,0.12,0.03,0.0,0.81
297,"(341, 248, 95, 95)",0.01,0.0,0.02,0.15,0.03,0.0,0.79
298,"(341, 248, 95, 95)",0.01,0.0,0.02,0.09,0.03,0.0,0.84
299,"(341, 248, 95, 95)",0.01,0.0,0.01,0.11,0.02,0.0,0.85
300,"(339, 246, 99, 99)",0.01,0.0,0.01,0.15,0.03,0.0,0.79
301,"(341, 253, 90, 90)",0.03,0.0,0.06,0.1,0.04,0.0,0.77
302,"(342, 254, 89, 89)",0.01,0.0,0.05,0.17,0.02,0.0,0.75
303,"(342, 254, 89, 89)",0.01,0.0,0.05,0.21,0.02,0.0,0.7
304,"(341, 253, 90, 90)",0.02,0.0,0.08,0.12,0.03,0.0,0.76
305,"(338, 246, 99, 99)",0.02,0.0,0.03,0.14,0.05,0.0,0.77
306,"(340, 253, 91, 91)",0.02,0.0,0.06,0.11,0.03,0.0,0.77
307,"(341, 253, 91, 91)",0.02,0.0,0.06,0.03,0.02,0.0,0.86
308,"(339, 248, 97, 97)",0.03,0.0,0.03,0.09,0.06,0.0,0.79
309,"(338, 248, 97, 97)",0.02,0.0,0.03,0.05,0.04,0.0,0.87
310,"(341, 254, 89, 89)",0.02,0.0,0.09,0.08,0.02,0.0,0.79
311,"(340, 253, 91, 91)",0.03,0.0,0.06,0.05,0.03,0.0,0.83
312,"(342, 254, 89, 89)",0.02,0.0,0.12,0.02,0.07,0.0,0.76
313,"(342, 254, 89, 89)",0.02,0.0,0.13,0.03,0.04,0.0,0.79
314,"(341, 254, 90, 90)",0.02,0.0,0.07,0.06,0.04,0.0,0.81
